Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adair Park,7,0,Day,0,2,4,1
Adair Park,7,0,Evening,0,2,6,6
Adair Park,7,1,Morning,0,2,0,0
Adair Park,7,1,Day,0,2,3,2
Adair Park,7,1,Evening,0,1,4,9
Adair Park,7,2,Morning,0,0,1,0
Adair Park,7,2,Day,0,5,3,5
Adair Park,7,2,Evening,0,5,2,5
Adair Park,7,3,Morning,0,2,1,4
Adair Park,7,3,Day,0,1,2,3
Adair Park,7,3,Evening,0,2,3,5
Adair Park,7,4,Morning,0,0,0,5
Adair Park,7,4,Day,0,1,7,1
Adair Park,7,4,Evening,0,4,3,2
Adair Park,7,5,Morning,0,2,2,0
Adair Park,7,5,Day,1,1,1,3
Adair Park,7,5,Evening,0,2,3,8
Adair Park,7,6,Morning,0,3,2,0
Adair Park,7,6,Day,0,0,2,1
Adair Park,7,6,Evening,0,2,7,3
Adair Park,8,0,Morning,0,0,4,2
Adair Park,8,0,Day,0,2,4,4
Adair Park,8,0,Evening,0,4,7,6
Adair Park,8,1,Morning,0,2,1,1
Adair Park,8,1,Day,0,0,4,3
Adair Park,8,1,Evening,0,2,5,5
Adair Park,8,2,Morning,0,2,2,0
Adair Park,8,2,Day,0,0,7,6
Adair Park,8,2,Evening,0,3,3,5
Adair Park,8,3,Morning,0,0,0,0
Adair Park,8,3,Day,0,1,1,3
Adair Park,8,3,Evening,0,2,4,3
Adair Park,8,4,Morning,0,0,2,1
Adair Park,8,4,Day,0,1,2,1
Adair Park,8,4,Evening,0,2,5,2
Adair Park,8,5,Morning,0,2,0,5
Adair Park,8,5,Day,0,2,4,2
Adair Park,8,5,Evening,0,4,2,8
Adair Park,8,6,Morning,0,2,3,4
Adair Park,8,6,Day,0,2,2,5
Adair Park,8,6,Evening,0,1,1,3
Adair Park,9,0,Morning,0,0,1,1
Adair Park,9,0,Day,0,3,3,1
Adair Park,9,0,Evening,0,3,6,5
Adair Park,9,1,Morning,0,1,2,3
Adair Park,9,1,Day,0,2,4,2
Adair Park,9,1,Evening,0,2,2,6
Adair Park,9,2,Morning,0,1,2,0
Adair Park,9,2,Day,0,1,4,6
Adair Park,9,2,Evening,0,0,5,0
Adair Park,9,3,Morning,0,1,2,2
Adair Park,9,3,Day,0,1,3,2
Adair Park,9,3,Evening,0,0,5,3
Adair Park,9,4,Morning,0,0,0,3
Adair Park,9,4,Day,0,2,8,2
Adair Park,9,4,Evening,0,4,3,3
Adair Park,9,5,Morning,0,3,1,5
Adair Park,9,5,Day,0,1,3,3
Adair Park,9,5,Evening,0,0,2,9
Adair Park,9,6,Morning,0,2,1,5
Adair Park,9,6,Day,0,3,4,2
Adair Park,9,6,Evening,0,1,4,1
Adair Park,10,0,Morning,0,0,2,1
Adair Park,10,0,Day,0,2,2,5
Adair Park,10,0,Evening,0,3,7,3
Adair Park,10,1,Morning,0,1,1,2
Adair Park,10,1,Day,0,1,5,3
Adair Park,10,1,Evening,0,2,2,4
Adair Park,10,2,Morning,0,3,0,4
Adair Park,10,2,Day,0,1,5,5
Adair Park,10,2,Evening,0,2,6,2
Adair Park,10,3,Morning,0,4,4,3
Adair Park,10,3,Day,0,1,6,0
Adair Park,10,3,Evening,0,3,4,3
Adair Park,10,4,Morning,0,2,3,6
Adair Park,10,4,Day,0,2,8,1
Adair Park,10,4,Evening,0,1,4,4
Adair Park,10,5,Morning,0,3,3,5
Adair Park,10,5,Day,0,1,1,5
Adair Park,10,5,Evening,0,2,2,8
Adair Park,10,6,Morning,0,4,3,3
Adair Park,10,6,Day,0,1,2,5
Adair Park,10,6,Evening,0,4,5,3
Adair Park,11,0,Morning,0,0,1,0
Adair Park,11,0,Day,0,0,3,3
Adair Park,11,0,Evening,0,1,5,8
Adair Park,11,1,Morning,1,0,2,1
Adair Park,11,1,Day,1,0,6,2
Adair Park,11,1,Evening,0,1,3,5
Adair Park,11,2,Morning,0,1,0,2
Adair Park,11,2,Day,0,1,5,1
Adair Park,11,2,Evening,0,0,0,3
Adair Park,11,3,Morning,0,0,1,2
Adair Park,11,3,Day,0,1,2,3
Adair Park,11,3,Evening,0,2,5,6
Adair Park,11,4,Morning,0,2,3,0
Adair Park,11,4,Day,0,0,6,1
Adair Park,11,4,Evening,0,1,4,5
Adair Park,11,5,Morning,0,0,1,4
Adair Park,11,5,Day,0,0,7,3
Adair Park,11,5,Evening,0,3,5,6
Adair Park,11,6,Morning,0,3,4,5
Adair Park,11,6,Day,0,0,8,3
Adair Park,11,6,Evening,0,2,2,3
Adair Park,12,0,Morning,0,0,2,1
Adair Park,12,0,Day,0,1,0,3
Adair Park,12,0,Evening,1,1,5,0
Adair Park,12,1,Morning,0,4,1,1
Adair Park,12,1,Day,0,1,4,5
Adair Park,12,1,Evening,0,2,2,5
Adair Park,12,2,Morning,0,1,1,1
Adair Park,12,2,Day,0,1,7,4
Adair Park,12,2,Evening,0,5,5,5
Adair Park,12,3,Morning,0,0,1,1
Adair Park,12,3,Day,0,1,6,3
Adair Park,12,3,Evening,0,3,0,5
Adair Park,12,4,Morning,0,0,1,1
Adair Park,12,4,Day,0,1,2,4
Adair Park,12,4,Evening,0,2,8,2
Adair Park,12,5,Morning,0,1,0,2
Adair Park,12,5,Day,0,0,1,1
Adair Park,12,5,Evening,0,3,1,3
Adair Park,12,6,Morning,0,1,0,0
Adair Park,12,6,Day,0,2,1,0
Adair Park,12,6,Evening,0,3,5,5
Adams Park,1,0,Morning,0,0,4,0
Adams Park,1,0,Day,0,0,2,2
